,name,city,GD_Name,GD_Med,GD_Act,GD_City,GD_kvk_ref,GD_other_in_list
137,Noach Logistics Koeltransport en vriestransport,Tilburg,                    NOACH Logistics                ,3  werknemers,                            Actief sinds                             2021                        ,                                Inactief sinds                                 2022                            ,                                TILBURG                            ,"['NOACH Logistics', 'Noach-CRS', 'Noach B.V.', 'Noach B.V.', 'Noach R & D', 'Noach Banket en Bonbons V.O.F.', 'Noach JLS', 'Noach Handel en Transport B.V.', 'Noach R & J B.V.', 'Noach Marine', 'NOA Consult', 'Noach Kidz Ark', 'Noach Groep B.V.', 'NOA Civiel B.V.', 'NOACH fashion', 'Noach Outdoor B.V.', 'Noach Beheer B.V.', 'Noach Beheer B.V.', 'Noach Kindinzo', 'No-Ach Beheer B.V.', 'Noach Security', 'Noachi Columba', 'Noach Holding B.V.', 'Noach Holding B.V.', 'Noach Holding B.V.', 'Noach Holding B.V.', 'Noach Recycling', 'Noach Productions', 'Tilburg City Taxi', ""Noach's Spijshuys"", 'Noach Infonautica', 'NOA Coöperatief U.A.', 'Noa Charlotte Media', 'noachuitvaartzorg', 'noachanell zorg 4all', 'Noach-Kinderkleding', 'Noach Systeemtherapie', 'Noach Nautisch Centrum', 'Noac B.V.', 'Noach Investment Services B.V.', 'Noach Janusch Woodcraft Design', '@Noacare', 'NoaCare', 'Noach Oosterse Tapijten Nederland B.V.', 'NOA Care', 'noacustom', 'Noacode B.V.', 'Noa Cornet', 'Noa Claver', 'NO-actrice']"
138,Independent Transport Logistics bv,Moerdijk,                    Independent Transport Logistics B.V.                ,7  werknemers,                            Actief sinds                             2018                        ,                                MOERDIJK                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Independent Transport Logistics B.V.']
139,Independent Commodities Logistics B.V.,Moerdijk,                    Independent Commodities Logistics B.V.                ,5  werknemers,                            Actief sinds                             2013                        ,                                MOERDIJK                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Independent Commodities Logistics B.V.']
140,Merchant Logistics bv,Tilburg,                    Merchant Logistics B.V.                ,4  werknemers,                            Actief sinds                             2004                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Merchant Logistics B.V.', 'Americold Barneveld Warehousing B.V.']"
141,NewCold,Breda,                    NewCold B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2012                        ,                                BREDA                            ,64923 - Participatiemaatschappijen                            ,"['NewCold B.V.', 'NewCold UK B.V.', 'NewCold Coöperatief U.A.', 'NewCold Transport B.V.', 'NewCold Australia B.V.', 'NewCold Development B.V.', 'NewCold Services B.V.', 'NewCold Pan European B.V.', 'NewCold Ferentino Holding B.V.', 'NewCold Kutno Holding B.V.', 'NewCold Canada Holding B.V.', 'NewCold UK Finance B.V.', 'NewCold Projects JV B.V.', 'NewCold Real Estate B.V.', 'NewCold Corby Holding B.V.', 'NewCold India Holding B.V.', 'NewCold Rheine Holding B.V.', 'NewCold European Holding B.V.', 'NewCold Portugal Holding B.V.', 'NewCold Argentan Holding B.V.', 'NewCold Rennes Holding B.V.', 'NewCold Israel Holding B.V.', 'NewCold Piacenza Holding B.V.', 'NewCold RE UK Holding B.V.', 'NewCold Real Estate II B.V.', 'NewCold Rennes Holding II B.V.', 'NewCold UK Finance II B.V.', 'NewCold Real Estate IV B.V.', 'NewCold Real Estate III B.V.', 'NewCold Corby Holding II B.V.', 'NewCold Spain Holding I B.V.', 'NewCold Spain Holding II B.V.', 'NewCold Rheine Holding II B.V.']"
142,M665 Logistics,Eindhoven,                    M665 Logistics                ,1  werknemers,                            Actief sinds                             2021                        ,                                EINDHOVEN                            ,53202 - Koeriers                            ,['M665 Logistics']
143,JWK Logistics,Veldhoven,                    JWK Logistics                ,10  werknemers,                            Actief sinds                             2018                        ,                                Inactief sinds                                 2020                            ,                                EINDHOVEN                            ,"['JWK Logistics', 'JWK Logistics B.V.']"
144,Jorden Logistics BV,Rotterdam,                    Jorden Logistics B.V.                ,6  werknemers,                            Actief sinds                             1999                        ,                                ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Jorden Logistics B.V.']
145,Freightned Logistics B.V.,Ridderkerk,                    Freightned Logistics B.V.                ,11  werknemers,                            Actief sinds                             2007                        ,                                RIDDERKERK                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Freightned Logistics B.V.', 'FreightNed Ocean B.V.', 'FreightNed Intermodal B.V.']"
146,RMI Global Logistic Services,Rotterdam,                    R.M.I. Logistic Management B.V.                ,7  werknemers,                            Actief sinds                             1997                        ,                                BOTLEK ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['R.M.I. Logistic Management B.V.', 'R.M.I. Food Logistics B.V.', 'R.M.I. Chemical Logistics B.V.']"
147,KDS Logistics,Rotterdam,                    KDS Logistics B.V.                ,9  werknemers,                            Actief sinds                             1985                        ,                                ROTTERDAM                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['KDS Logistics B.V.']
148,Rebrex Logistics B.V.,Etten-Leur,                    Rebrex Logistics B.V.                ,3  werknemers,                            Actief sinds                             2019                        ,                                ETTEN-LEUR                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Rebrex Logistics B.V.']
149,WDeliver,Breda,                    WDeliver                ,4  werknemers,                            Actief sinds                             2010                        ,                                Inactief sinds                                 2022                            ,                                DEVENTER                            ,"['WDeliver', 'WDeliver B.V.']"
150,KNB Logistics BV,Tilburg,                    KNB Logistics B.V.                ,1  werknemers,                            Actief sinds                             2019                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['KNB Logistics B.V.']
151,S & R Transport,Raamsdonksveer,                    S & R Transport                ,1  werknemers,                            Actief sinds                             2007                        ,                                RAAMSDONKSVEER                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['S & R Transport', 'R & S van Vark Transport']"
152,SAS LOGISTICS BV,Rijen,                    SAS Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2020                        ,                                RIJEN                            ,6209 - Overige dienstverlenende activiteiten op het gebied van informatietechnologie                            ,"['SAS Logistics B.V.', 'Sjaak Moens Logistics B.V.', 'Hazmat Logistics B.V.', 'Sjaak Moens Logistics B.V.', 'Fuji Logistics Europe B.V.', 'WM Logistics Solutions B.V.', 'LM B.V.', 'Dertec B.V.', 'Wesseling Transport B.V.']"
153,Fds Europe Logistics B.V.,Son,                    FDS Europe Logistics B.V.                ,5  werknemers,                            Actief sinds                             2012                        ,                                SON EN BREUGEL                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['FDS Europe Logistics B.V.']
154,Balans Logistics B.V.,Tilburg,                    Balans Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2006                        ,                                TILBURG                            ,53202 - Koeriers                            ,"['Balans Logistics B.V.', 'Balansa Logistics B.V.']"
155,Arena Freight B.V.,Etten-Leur,                    Arena Freight B.V.                ,4  werknemers,                            Actief sinds                             1996                        ,                                ETTEN-LEUR                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Arena Freight B.V.', 'V. van Ewijk Holding B.V.']"
156,AAB Logistics,Tilburg,                    AAB Couriers B.V.                ,5  werknemers,                            Actief sinds                             1994                        ,                                TILBURG                            ,53202 - Koeriers                            ,['AAB Couriers B.V.']
157,AT Logistics B.V.,Helmond,                    AT Logistics B.V.                ,1  werknemers,                            Actief sinds                             2015                        ,                                HELMOND                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['AT Logistics B.V.', 'Shift Logistics B.V.', 'AT Invest Holding B.V.']"
158,Arma Logistics B.V.,Utrecht,                    Arma Logistics B.V.                ,5  werknemers,                            Actief sinds                             2018                        ,                                UTRECHT                            ,5221 - Dienstverlening voor vervoer over land                            ,['Arma Logistics B.V.']
159,Van de Sande Logistics B.V.,Middelbeers,                    Van de Sande Logistics B.V.                ,26  werknemers,                            Actief sinds                             2006                        ,                                OOST WEST EN MIDDELBEERS                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Van de Sande Logistics B.V.']
160,Abx Logistics Nederland Bv,Moerdijk,                    ABX LOGISTICS (Nederland) B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             1919                        ,                                Inactief sinds                                 2018                            ,                                ZEVENBERGEN                            ,"['ABX LOGISTICS (Nederland) B.V.', 'ABX LOGISTICS (Nederland) B.V.', 'ABX LOGISTICS (Nederland) B.V.']"
161,Alp Transport en Logistics,Utrecht,                    ALP Transport en Logistics B.V.                ,8  werknemers,                            Actief sinds                             2019                        ,                                UTRECHT                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['ALP Transport en Logistics B.V.']
162,VDR logistics,IJssel,                    VDR Logistics B.V.                ,3  werknemers,                            Actief sinds                             2017                        ,                                NIEUWERKERK AD IJSSEL                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['VDR Logistics B.V.']
163,Best-Logistics.nl,Best,                    Best IT B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2019                        ,                                BEST                            ,6203 - Beheer van computerfaciliteiten                            ,"['Best IT B.V.', 'VGB Best B.V.', 'Best FIT', 'Job-Best', 'Best Fit B.V.', 'BEST HR', 'BestSafe', 'Mind en Care Best', 'CVH Best B.V.', 'Best Sun B.V.', 'BestUV B.V.', 'Gbp Best', 'Best06.nl', 'MaVu Onderhoud Best', 'BEST PC', 'Best Car Repair', 'Best Only', 'BESTPRO', 'Best for Finance', 'Best Fit Sports B.V.', 'Sushi-Eight Best B.V.', 'BPS Best B.V.', 'QPE Best B.V.', 'QSE Best B.V.', 'BTN Best B.V.', 'APK Best', 'VHN Best B.V.', 'Vadeu Best II B.V.', 'QRE Best B.V.', 'CDA Afdeling Best', 'WCT Best B.V.', 'Best-Dak', 'My Best Aloë Vera', 'QGROUP Best B.V.', 'WilVen Best B.V.', 'WTC Velocitas Best', 'HaLo Best V.O.F.', 'CV Service Best B.V.', 'Best of the Best M.M. Aisha', 'Bestse ICT Diensten', 'Juro Best B.V.', 'Best Only', 'mr. P.W. de Best B.V.', 'Op je best!', 'M. de Best B.V.', 'A. de Best', 'IE-Best', 'Best Klimaat B.V.', 'VRM Best Advies B.V.', '040-FIT Best B.V.']"
164,DiLX (A Gateway Group Company),Zoetermeer,                    DiLX B.V.                ,1  werknemers,                            Actief sinds                             2004                        ,                                ZOETERMEER                            ,"6201 - Ontwikkelen, produceren en uitgeven van software                            ","['DiLX B.V.', 'DilK', 'Dilmaç', 'DILZ K.C.C.', 'dilai', 'DiLavi', 'DILED B.V.', 'Dilek LM', 'DiLeo B.V.', 'Di Lara', 'DiLago B.V.', 'DiLaKo B.V.', 'di Luca B.V.', 'Dilo B.V.', 'Di Leoni IT', 'Dille-Art', 'Dilek Gübay', 'DillyTelly', 'Dila clean', 'Diloss works', 'DiLa MiSa B.V.', 'DILISHIOUS', 'Dilara', 'DiLiciously', 'DIL Service', 'diLIMA', 'Dilex Salon', 'Dilos invent', 'DI Lusthof B.V.', 'DiLAVA nails', 'Diligent VOF', 'DILI CUIJK B.V.', 'DILGEL B.V.', 'Diley Dreams', 'Dilek Günayli', 'Dilcom GSM Shop', 'D@ilyG@in B.V.', 'DiL ICT Services', 'Dilip Taxi', 'DilemmaGroep B.V.', 'Dilruba beauty', 'DILL Groep B.V.', 'Di Luna -edelstenen en sieraden', 'DILUX Services B.V.', 'DiLoSoJa Beheer B.V.', 'Dilento Digital', 'Dilemma op Dinsdag', 'Dilexi klus & design', 'Dili', 'DillectroniK Music']"
165,Blonk Logistics B.v.,Langeweg,                    Blonk Logistics B.V.                ,2  werknemers,                            Actief sinds                             2017                        ,                                LANGEWEG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Blonk Logistics B.V.']
166,Chr. Vermeer Transport B.V.,Tilburg,                    Chr. Vermeer Transport B.V.                ,71  werknemers,                            Actief sinds                             1984                        ,                                DONGEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Chr. Vermeer Transport B.V.', 'Ch.J.J. Vermeer Holding Loon op Zand B.V.', 'Brabant Transportdiensten B.V.']"
167,Mango Logistics,Terheijden,                    Mango Logistics B.V.                ,2  werknemers,                            Actief sinds                             2021                        ,                                TERHEIJDEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Mango Logistics B.V.']
168,ND Logistics,Gemert,                    ND Logistics                ,1  werknemers,                            Actief sinds                             2017                        ,                                Inactief sinds                                 2020                            ,                                ELSENDORP                            ,"['ND Logistics', 'Inventa Logistics B.V.', 'Wesselink Logistics B.V.', 'STRATSON B.V.']"
169,InTime Logistics & Consulting,Nieuwegein,                    Intime Logistics & Consulting                ,3  werknemers,                            Actief sinds                             2016                        ,                                Inactief sinds                                 2022                            ,                                NIEUWEGEIN                            ,"['Intime Logistics & Consulting', 'Intime Logistics & Consulting B.V.']"
170,Naxco Logistics Benelux B.V.,Rotterdam,                    Naxco Logistics Benelux B.V.                ,6  werknemers,                            Actief sinds                             2003                        ,                                ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Naxco Logistics Benelux B.V.']
171,Id logistics b.v.,Tilburg,                    ID Logistics B.V.                ,1  werknemers,                            Actief sinds                             2007                        ,                                Inactief sinds                                 2012                            ,                                UTRECHT                            ,"['ID Logistics B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Tilburg B.V.', 'ID Logistics Nederland B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.']"
172,Global Logistics Holland B.V.,Hedel,                    Holland Global Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2015                        ,                                KAMPEN                            ,6420 - Financiële holdings                            ,"['Holland Global Logistics B.V.', 'Dutch Business Limousine B.V.']"
173,R & C Logistiek B.V.,Bergeijk,                    R & C Logistiek B.V.                ,17  werknemers,                            Actief sinds                             2019                        ,                                HAPERT                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['R & C Logistiek B.V.', 'R & C Beheer B.V.']"
174,Ravetra Logistics BV,Veen,                    Ravetra Logistics B.V.                ,1  werknemers,                            Actief sinds                             1999                        ,                                BABYLONIENBROEK                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Ravetra Logistics B.V.']
175,Frankena Logistics,Spijkenisse,                    Frankena Logistics                ,1  werknemers,                            Actief sinds                             2019                        ,                                Inactief sinds                                 2020                            ,                                SPIJKENISSE                            ,"['Frankena Logistics', 'Frankena Logistics B.V.', 'Berend Frankena Logistics C.V.']"
176,Rvd Logistics,Eindhoven,                    RVD Logistics                ,2  werknemers,                            Actief sinds                             2007                        ,                                EINDHOVEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['RVD Logistics', 'RvD Logistics', 'RvDijk Logistics']"
177,STL Logistics B.V.,Barendrecht,                    STL Logistics B.V.                ,9  werknemers,                            Actief sinds                             2005                        ,                                BARENDRECHT                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['STL Logistics B.V.', 'STL Logistics Beheer B.V.', 'Olympic Logistics B.V.', 'TLT Silver Tiger Logistics (Netherlands) B.V.', 'J.T.K. Holding B.V.']"
178,Excellent Logistics,Nieuwegein,                    Excellent Logistics                ,1  werknemers,                            Actief sinds                             2011                        ,                                Inactief sinds                                 2013                            ,                                NIEUWEGEIN                            ,"['Excellent Logistics', 'Excellent Logistics', 'Excellent Logistics', 'Excellent Logistics', 'Excellent Logistics', 'Excellent Logistics', 'M&A Excellent Logistics', 'Excellent Thermo Logistics B.V.', 'BVW Logistics B.V.', 'A.T.R.-Excellent Thermo Logistics B.V.']"
179,Erik Geboers Internationaal Transport,Tilburg,                    Erik Geboers Internationaal Transport                ,1  werknemers,                            Actief sinds                             1996                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Erik Geboers Internationaal Transport']
180,Seafreight Discounter B.V.,Rotterdam,                    Seafreight Discounter B.V.                ,1  werknemers,                            Actief sinds                             2015                        ,                                Inactief sinds                                 2018                            ,                                ROTTERDAM                            ,['Seafreight Discounter B.V.']
181,Star & Em Logistics B.v.,Oss,                    STAR & EM Logistics B.V.                ,3  werknemers,                            Actief sinds                             2014                        ,                                OSS                            ,53202 - Koeriers                            ,['STAR & EM Logistics B.V.']
182,DHL Techn. Distribution B.V.,Eindhoven,                    DHL Technical Distribution B.V.                ,92  werknemers,                            Actief sinds                             1990                        ,                                EINDHOVEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['DHL Technical Distribution B.V.']
183,TPL Transport Logistics,Belgium,                    T-plast B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             1996                        ,                                Inactief sinds                                 2016                            ,                                BREDA                            ,"['T-plast B.V.', 'T&P Legal B.V.', ""'t plein Mode"", 'TPLogistiek', ""t'plaggehuttie"", 'tploffietske', 'TPL-Sound & Design', ""'t planten huis B.V."", 'TPL Waarneming', 'tpl-vertalingen', 'TPLD', 'T. Plug', ""'t Plûmke"", ""T'plein"", 'T. Ploeg', 'T&P Legal', 'TPL V.O.F.', 'TP-Link Netherlands B.V.', 'TP Legal', 'T.P. Lichon', ""'t Plateau"", ""'t Plateau"", ""'t Ploegje"", ""'t Pleyn B.V."", 'TPL Media', 'Tplants', ""'T Plankje"", ""'t Pletzke"", ""'t Plakhuis"", ""'T Pleintje"", ""'t Ploegske"", 'TPL Klus- en Schildersbedrijf', ""'t Ploegske"", ""'t Pleintje"", ""'t Pleintje"", ""'t Ploegje"", 'T.P. Lounge', 'TP-LINK Enterprises Netherlands B.V.', ""'t Pleintje"", ""'t Pleintje"", ""'t Pletzke V.O.F."", 'TPLJ Interne geneeskunde praktijk B.V.', ""'t Pluspunt"", ""'t Pleintje"", ""'t Plenkske"", ""'t Plenkhoes"", ""'t Pleintje B.V."", ""'T PLEINTJE B.V."", 'T-Plus Works', 'T.P.L.M. Janssen']"
184,The Sting Companies,Tilburg,                    The Sting Companies B.V.                ,307  werknemers,                            Actief sinds                             2015                        ,                                TILBURG                            ,6420 - Financiële holdings                            ,"['The Sting Companies B.V.', 'The Sting Companies II B.V.']"
185,Crane Worldwide Logistics,Rotterdam,                    Crane Worldwide Logistics B.V.                ,25  werknemers,                            Actief sinds                             2009                        ,                                ROZENBURG NH                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.']"
186,Über Logistics,Eindhoven,                    Partytentverhuur Eindhoven                ,1  werknemers,                            Actief sinds                             2012                        ,                                Inactief sinds                                 2022                            ,                                EINDHOVEN                            ,['Partytentverhuur Eindhoven']
